Index,Employed,Bank Balance,Annual Salary,Defaulted,Bank Balance/Annual Salary
1,1,8754.36,532339.56,0,0.016445067505409517
2,0,9806.16,145273.56,0,0.06750134023011482
3,1,12882.6,381205.68,0,0.03379435479555289
4,1,6351.0,428453.88,0,0.014823065670452091
5,1,9427.92,461562.0,0,0.020426118267968335
6,0,11035.08,89898.72,0,0.12275013481838229
7,1,9906.12,298862.76,0,0.033146050046516336
8,0,9704.04,211205.4,0,0.045945984335627785
9,1,13932.72,449622.36,0,0.030987604797946437
10,1,0.0,351303.24,0,0.0
11,0,0.0,262452.84,0,0.0
12,0,14646.96,159222.72,0,0.09199038931127416
13,1,2844.6,339020.4,0,0.008390645518676751
14,1,7280.88,539934.72,0,0.013484741266499773
15,1,13355.64,285722.04,0,0.04674347138218669
16,1,3434.76,540508.92,0,0.006354677735938197
17,1,0.0,603183.72,0,0.0
18,0,6330.48,211638.48,0,0.02991176273804272
19,1,5831.28,738793.32,0,0.007892978783294901
20,1,13140.84,317575.56,0,0.04137862497983157
21,1,2747.4,606002.16,0,0.004533647206802035
22,1,11451.12,389490.12,0,0.029400283632355043
23,1,12671.52,615814.56,0,0.02057684378232304
24,1,7703.76,365593.2,0,0.021071945539468458
25,1,9278.52,412239.72,0,0.022507583694264106
26,1,10260.12,302535.96,0,0.03391372053755196
27,1,7716.0,497682.12,0,0.01550387223073234
28,1,17458.32,386269.08,0,0.04519730132165898
29,1,7388.4,472516.68,0,0.015636273411554488
30,0,13434.84,198672.84,0,0.0676229322538501
31,1,5937.84,652617.36,0,0.009098501455738168
32,0,5386.56,189593.64,0,0.028411079612164207
33,0,7018.8,269159.28,0,0.026076752768843785
34,1,10963.08,562886.76,0,0.01947652845840609
35,0,17087.28,271613.88,0,0.06291018706407787
36,0,17996.64,158287.8,0,0.11369568595937274
37,1,8304.36,573679.32,0,0.014475613309540253
38,1,4217.4,421049.88,0,0.010016390457111637
39,1,8911.56,454377.84,0,0.01961266420915245
40,1,7837.44,473875.08,0,0.0165390423146961
41,1,10465.68,501450.84,0,0.020870799618163967
42,1,10047.12,617661.24,0,0.016266392237919935
43,1,13819.56,515009.64,0,0.02683359480416716
44,0,2646.72,202475.4,0,0.01307181020509158
45,0,20282.76,228630.84,0,0.08871401600938876
46,1,4905.24,650483.28,0,0.007540916347611578
47,1,14863.32,600800.16,0,0.024739207792487936
48,1,14739.72,448902.0,0,0.03283505085742545
49,1,9851.04,572958.48,0,0.017193287723047578
50,1,10289.88,380260.2,0,0.02706010252979407
51,1,6763.44,511695.0,0,0.01321771758567115
52,0,15395.64,157447.68,0,0.0977825776791376
53,0,18069.36,318685.68,0,0.056699629553483545
54,0,10848.48,202587.6,0,0.05354957559100359
55,1,0.0,599478.96,0,0.0
56,0,15534.0,125571.84,0,0.12370607932479129
57,0,15306.6,190649.64,0,0.08028654027356148
58,1,18439.08,585202.92,0,0.031508865335121705
59,1,15990.24,469717.68,0,0.03404223575318689
60,1,5904.96,400549.08,0,0.01474216343225654
61,1,9194.76,557739.48,0,0.016485761416781902
62,1,8281.56,761195.76,0,0.010879671741734346
63,1,0.0,389778.48,0,0.0
64,1,17767.92,442393.92,0,0.040163119782478024
65,1,11868.72,544131.0,0,0.02181224741836065
66,1,15628.08,404345.16,0,0.03865034516550168
67,1,12534.6,656361.24,0,0.01909710573403146
68,1,0.0,523898.76,0,0.0
69,1,10392.36,460361.04,0,0.02257436902132292
70,1,8289.6,577685.64,0,0.014349672946691214
71,1,7173.12,378931.44,0,0.018929862351880856
72,1,5153.88,615734.64,0,0.008370294060441362
73,1,16777.92,475739.28,0,0.035267047951138275
74,0,18936.72,238637.88,0,0.07935337005172859
75,1,10284.84,319868.28,0,0.032153360126862214
76,0,9029.52,194535.36,0,0.04641582897834101
77,0,9296.88,182324.76,0,0.05099077053495092
78,1,8740.44,541580.64,0,0.016138760056120176
79,1,923.88,340705.08,0,0.0027116707505505933
80,1,2357.52,496161.48,0,0.004751517590603769
81,0,11385.0,171571.44,0,0.06635719791126075
82,1,5183.04,472438.56,0,0.010970823380716426
83,1,5539.68,554654.52,0,0.009987622565484548
84,1,6864.24,396555.72,0,0.017309648187649393
85,1,4026.84,615101.28,0,0.006546629199015811
86,1,6122.88,724772.64,0,0.008448001017256943
87,0,12061.92,288463.8,0,0.041814328175667104
88,0,1949.4,158901.0,0,0.012268015934449752
89,1,11190.36,606449.64,0,0.018452249390402804
90,0,10719.96,142868.16,0,0.07503393338305749
91,1,15993.36,533941.92,0,0.029953370209254218
92,1,16852.56,420517.32,0,0.040075780945241446
93,0,13787.64,198938.28,0,0.06930611846045918
94,1,4418.64,691161.96,0,0.006393060173624139
95,1,5393.64,551408.04,0,0.009781576634247117
96,1,9840.24,619015.92,0,0.015896586310736562
97,0,7437.0,189007.44,0,0.039347657425548965
98,1,12572.64,557003.64,0,0.02257191712427588
99,1,2926.08,566326.68,0,0.005166770528981611
100,1,2238.0,545166.6,0,0.004105167117721445
101,1,17064.24,458688.36,0,0.03720225209115837
102,1,4605.6,737103.48,0,0.006248240749046526
103,1,13913.28,549625.2,0,0.025314123151558555
104,1,10595.88,206180.88,0,0.05139118622444525
105,1,17558.76,785494.2,0,0.022353774222648618
106,0,20668.32,231737.04,0,0.08918867695902218
107,0,9287.04,174706.92,0,0.053157825688873686
108,1,11498.04,393795.36,0,0.02919800781807079
109,1,14490.36,816450.96,0,0.017747985745524754
110,1,12679.32,366559.2,0,0.03459010168071078
111,1,1411.68,558603.24,0,0.0025271604224851975
112,1,7163.52,697060.32,0,0.010276757684327809
113,1,0.0,572755.56,0,0.0
114,0,6499.92,196028.4,0,0.033158052608703636
115,1,13430.16,540240.24,0,0.02485960690377303
116,0,9723.84,245984.04,0,0.03953036953129154
117,1,3258.6,394201.44,0,0.008266332056016842
118,1,13372.8,572568.24,0,0.023355818688092094
119,1,10404.36,402491.76,0,0.025849870814746618
120,0,14121.48,211592.52,0,0.06673903217372712
121,1,7322.76,509584.32,0,0.014370065389767095
